8821,2791
16224,3647
26292,6
13267,4353
2032,993
4913,715
9953,4965
15739,1393
21657,3041
15466,194
4082,1287
15845,2402
18778,3230
3394,1405
22829,2566
17400,3166
16666,4638
12932,1885
2160,760
1187,3088
14546,593
23289,4235
10045,4593
10722,2358
21614,4195
17457,3474
17056,796
12896,3323
24145,3884
18648,194
25808,2912
26233,285
7033,2166
14173,4396
14201,2444
6649,1645
24040,1805
8642,5085
20403,1794
2985,3841
14230,3044
6641,3755
19909,4047
11302,2087
4254,114
12577,2315
12832,2047
9113,2430
20338,2320
17101,3485
14082,3368
8397,1156
20728,150
24059,1720
16568,1035
19190,2001
2481,1848
22873,1954
25294,4874
14181,2711
15366,950
22827,590
11677,364
3338,4165
20309,1752
17558,3726
24165,4837
15765,470
6721,687
18781,3031
9617,2951
9088,197
3377,3153
2869,1636
22540,2360
4642,597
12161,718
17873,522
10356,2317
4165,1328
926,4076
12451,3205
14948,2645
22558,3833
7907,4558
23763,3758
9987,2633
23728,2327
9899,33
2966,1351
24453,5071
11971,285
2057,4594
18697,4193
7850,33
3688,1885
19587,1794
22550,3438
12060,3960
17858,4761
13825,4686
13230,2152
23758,1394
3246,950
11297,1112
2528,1390
8333,3765
21656,5085
24097,368
5918,87
12481,593
24594,3990
18794,3765
24222,4283
5468,3038
806,4683
24544,270
25801,4037
12808,3328
17413,2912
16697,3077
377,2153
18331,4278
13749,3710
2046,2918
5065,1918
3677,5114
25034,4758
14053,3368
11301,605
10782,232
17561,4762
11209,1791
17153,4687
5814,4754
8349,1606
22862,3238
18222,3925
843,1113
17942,472
26536,3231
1646,2276
22844,4843
20366,3888
11997,3035
22521,4113
23637,562
3381,2567
23208,3676
11633,3832
16236,161
3734,3765
11253,3401
15709,525
3765,4680
8250,1840
3009,1557
20329,4125
7445,2486
17102,470
4542,2953
20059,2360
98,808
25861,4117
17115,278
22026,3114
15400,1368
22882,1885
17454,354
6708,3678
18302,1366
14241,1882
6625,1047
12421,4075
12046,3521
12150,1281
68,2753
9075,238
21984,472
26125,4031
2453,45
17480,275
8641,2685
20789,685
25749,3115
14542,3725
22142,1168
25022,1328
16981,4328
11697,1524
26129,4437
22069,3722
14093,3755
12580,4168
17833,2320
25693,1328
440,3164
9146,273
12473,4716
17978,2833
18653,1885
22529,1522
10321,1448
19505,3157
16634,2197
14894,243
14181,1564
23669,1604
10341,2402
25350,1876
19045,1085
20457,2804
4116,353
14110,155
19088,4912
6305,3048
6977,4481
12398,4871
6661,3607
6693,4240
491,2366
3744,2833
10059,3244
18629,1475
9198,4367
23689,2912
24576,2567
3352,3086
16552,955
22072,607
3006,4792
4577,2117
19061,2871
8680,3648
10462,1565
18619,808
15816,3647
24953,4286
4069,4752
14124,1834
26612,2560
14606,1483
13765,4595
25036,1834
3845,2768
2586,3961
11302,1233
13281,2123
14604,2953
860,1405
7829,955
12845,2761
10016,2036
2864,436
9165,247
2070,3962
23764,3630
6729,2513
9902,3921
20065,3644
2994,2672
15795,1158
8275,3000
23753,2727
11293,1760
32,4074
21581,2836
23366,3476
2113,3316
23205,2714
5772,1078
19492,2278
6240,954
7520,2081
3305,763
12560,516
10044,2805
16214,1272



fold along y=2559
fold along y=1279
fold along x=13311
fold along y=639
fold along x=6655
fold along y=319
fold along x=3327
fold along x=1663
fold along x=831
fold along y=159
fold along y=79
fold along x=415
fold along x=207
fold along y=39
fold along y=19
